name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,1824637333,18389644.557382297,54
DashMap,33554432,2,1046226042,32071876.10801223,62
DashMap,33554432,4,826920791,40577564.82265059,98
DashMap,33554432,6,563681542,59527285.355034746,100
DashMap,33554432,8,423621333,79208551.09532456,100
DashMap,33554432,10,384342584,87303445.9278132,114
DashMap,33554432,12,370425083,90583585.02142794,132
DashMap,33554432,14,361910500,92714723.66786815,151
DashMap,33554432,16,365838709,91719195.30253974,174
Papaya,33554432,1,4891259166,6860080.576642255,145
Papaya,33554432,2,2567580083,13068504.551100304,153
Papaya,33554432,4,1332793250,25176021.862355623,158
Papaya,33554432,6,963563083,34823285.15070351,172
Papaya,33554432,8,663298084,50587259.04596462,158
Papaya,33554432,10,577742541,58078520.48063049,172
Papaya,33554432,12,519788417,64554020.25628439,185
Papaya,33554432,14,415917875,80675618.95482372,173
Papaya,33554432,16,402387083,83388442.16825917,191
SccMap,33554432,1,3556872875,9433688.855129521,106
SccMap,33554432,2,1821565041,18420660.93977042,108
SccMap,33554432,4,932517167,35982642.66592317,111
SccMap,33554432,6,723751375,46361821.41968297,129
SccMap,33554432,8,481887750,69631220.13373446,114
SccMap,33554432,10,406781041,82487698.83058538,121
SccMap,33554432,12,359942458,93221656.0014712,128
SccMap,33554432,14,325592250,103056605.30924799,135
SccMap,33554432,16,308282916,108842982.39867434,147
