name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,3464648977,9684799.880954867,103
DashMap,33554432,4,1333358580,25165347.494145196,158
DashMap,33554432,8,767280631,43731629.1384397,182
DashMap,33554432,12,576864378,58166933.64969747,206
DashMap,33554432,16,479244991,70015196.04823579,228
DashMap,33554432,20,422311040,79454309.31665911,251
DashMap,33554432,24,436280289,76910263.53015,312
DashMap,33554432,28,394818967,84986879.56903549,329
DashMap,33554432,32,391321664,85746420.6223962,373
Papaya,33554432,1,7133166332,4704002.46374067,212
Papaya,33554432,4,2455262138,13666333.822641302,292
Papaya,33554432,8,1252575407,26788352.87079846,298
Papaya,33554432,12,910424328,36855816.533057325,325
Papaya,33554432,16,698433113,48042441.53870752,333
Papaya,33554432,20,613060144,54732691.93633961,365
Papaya,33554432,24,540244055,62109766.298122436,386
Papaya,33554432,28,436379646,76892752.2343698,364
Papaya,33554432,32,408532577,82134042.39730923,389
SccMap,33554432,1,5360657710,6259387.152700708,159
SccMap,33554432,4,1509268636,22232246.267920192,179
SccMap,33554432,8,786575491,42658883.20184133,187
SccMap,33554432,12,535674842,62639551.774955295,191
SccMap,33554432,16,410724721,81695671.7830481,195
SccMap,33554432,20,341118190,98366000.35899581,203
SccMap,33554432,24,280042743,119818966.34971899,200
SccMap,33554432,28,266409497,125950585.01236539,222
SccMap,33554432,32,225256516,148960982.77574354,214
