name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,3549795557,9452497.041366939,105
DashMap,33554432,4,1220600589,27490099.79381552,145
DashMap,33554432,8,737555901,45494086.556023635,175
DashMap,33554432,12,545049651,61562156.65570621,194
DashMap,33554432,16,443795820,75607814.42240714,211
DashMap,33554432,20,393402421,85292896.55794975,234
DashMap,33554432,24,361153569,92909041.69356278,258
DashMap,33554432,28,399528498,83985077.83041799,333
DashMap,33554432,32,382232538,87785388.9037568,364
Papaya,33554432,1,6900988961,4862264.262358381,205
Papaya,33554432,4,2016974830,16636019.20109236,240
Papaya,33554432,8,1066208616,31470794.267151188,254
Papaya,33554432,12,689710561,48650019.14911956,246
Papaya,33554432,16,553383996,60634988.077971086,263
Papaya,33554432,20,455784248,73619112.87465116,271
Papaya,33554432,24,389572868,86131337.05194274,278
Papaya,33554432,28,352811125,95105935.22242248,294
Papaya,33554432,32,381456296,87964027.20798191,363
SccMap,33554432,1,5513787043,6085550.954057766,164
SccMap,33554432,4,1538838567,21805037.07118227,183
SccMap,33554432,8,793787097,42271324.54887963,189
SccMap,33554432,12,516698573,64940051.6149674,184
SccMap,33554432,16,405986581,82649115.93223323,193
SccMap,33554432,20,330045490,101666082.45427017,196
SccMap,33554432,24,281606363,119153671.25422516,201
SccMap,33554432,28,285076626,117703203.06793585,237
SccMap,33554432,32,262269511,127938744.66025904,250
