name,total_ops,threads,spent,throughput,latency
DashMap,67108864,1,5309078266,12640398.32107459,79
DashMap,67108864,4,1867031934,35944143.63134295,111
DashMap,67108864,8,1050752336,63867442.11815866,125
DashMap,67108864,12,786627060,85312173.21712781,140
DashMap,67108864,16,595747279,112646530.442651,142
DashMap,67108864,20,525841506,127621846.57214944,156
DashMap,67108864,24,467209394,143637659.81982803,167
DashMap,67108864,28,428407408,156647300.55274862,178
DashMap,67108864,32,473217822,141813898.12491044,225
SccMap,67108864,1,9492891880,7069380.421511764,141
SccMap,67108864,4,2633785265,25480005.86524657,156
SccMap,67108864,8,1343647091,49945305.16942116,160
SccMap,67108864,12,989568881,67816263.51485886,176
SccMap,67108864,16,700651822,95780617.26641738,167
SccMap,67108864,20,584679662,114778858.17071572,174
SccMap,67108864,24,505067911,132870971.48407038,180
SccMap,67108864,28,409501378,163879458.30062628,170
SccMap,67108864,32,376184619,178393428.67976215,179
Flurry,67108864,1,11968049723,5607334.992186012,178
Flurry,67108864,4,3114896960,21544489.22766293,185
Flurry,67108864,8,1616072367,41525902.781555325,192
Flurry,67108864,12,1143694356,58677271.2901278,204
Flurry,67108864,16,919310373,72999137.14777589,219
Flurry,67108864,20,784928169,85496822.06652977,233
Flurry,67108864,24,708758486,94685094.18312629,253
Flurry,67108864,28,645995773,103884370.1536109,269
Flurry,67108864,32,609228407,110153865.49432518,290
Papaya,67108864,1,7586607230,8845701.63783212,113
Papaya,67108864,4,1810056938,37075554.13928089,107
Papaya,67108864,8,892122112,75223854.55680758,106
Papaya,67108864,12,623754117,107588650.99402621,111
Papaya,67108864,16,446254932,150382346.92272264,106
Papaya,67108864,20,366799515,182957886.40832853,109
Papaya,67108864,24,313725176,213909718.2305828,112
Papaya,67108864,28,271236214,247418525.020409,113
Papaya,67108864,32,247331398,271331761.9302018,117
